input_file, Card, PC, PCSA, HLL, KMV, MC, RC
datasets/dracula.txt, 9425, 10590, 8935, 9970, 9044, 9609, 9574
datasets/dracula.txt, 9425, 10590, 8604, 8746, 9367, 8908, 10763
datasets/dracula.txt, 9425, 10590, 8935, 9231, 8830, 9125, 11818
datasets/dracula.txt, 9425, 5295, 8935, 8977, 9387, 9686, 9066
datasets/dracula.txt, 9425, 10590, 9266, 8987, 9386, 10339, 9649
datasets/dracula.txt, 9425, 10590, 9266, 10469, 9018, 9113, 9317
datasets/dracula.txt, 9425, 5295, 9266, 10299, 8941, 8905, 8651
datasets/dracula.txt, 9425, 10590, 9928, 9413, 9979, 9174, 8856
datasets/dracula.txt, 9425, 1323, 8273, 9419, 9381, 8732, 8584
datasets/dracula.txt, 9425, 10590, 8935, 9741, 9499, 10268, 10932
datasets/dracula.txt, 9425, 5295, 9597, 9458, 9165, 8724, 9687
datasets/dracula.txt, 9425, 10590, 8604, 9035, 8951, 9386, 9353
datasets/dracula.txt, 9425, 5295, 9597, 8604, 9382, 9717, 10975
datasets/dracula.txt, 9425, 5295, 10259, 9399, 10622, 10585, 10191
datasets/dracula.txt, 9425, 5295, 8935, 9534, 9861, 10486, 10391
datasets/dracula.txt, 9425, 10590, 9266, 8856, 8907, 9064, 9353
datasets/dracula.txt, 9425, 10590, 8935, 8438, 9714, 8783, 9208
datasets/dracula.txt, 9425, 21181, 9928, 10429, 9657, 9428, 9317
datasets/dracula.txt, 9425, 10590, 9266, 8856, 9185, 9012, 8719
datasets/dracula.txt, 9425, 10590, 8935, 8829, 9844, 10501, 9353
datasets/dracula.txt, 9425, 5295, 9597, 9328, 9032, 9540, 9763
datasets/dracula.txt, 9425, 5295, 9266, 9847, 8932, 9243, 8891
datasets/dracula.txt, 9425, 21181, 9266, 8758, 10357, 9228, 10763
datasets/dracula.txt, 9425, 10590, 8935, 8643, 9307, 10513, 8386
datasets/dracula.txt, 9425, 10590, 9597, 9711, 9579, 9684, 9031
datasets/dracula.txt, 9425, 21181, 9928, 9590, 9905, 9151, 10805
datasets/dracula.txt, 9425, 10590, 9597, 8111, 10410, 9793, 8995
datasets/dracula.txt, 9425, 5295, 8604, 9558, 10164, 10928, 8386
datasets/dracula.txt, 9425, 5295, 8935, 9459, 9434, 9133, 8224
datasets/dracula.txt, 9425, 10590, 9928, 9334, 9665, 9762, 8891
datasets/dracula.txt, 9425, 10590, 9597, 9926, 9839, 9980, 8995
datasets/dracula.txt, 9425, 2647, 9266, 9284, 8732, 8747, 8484
datasets/dracula.txt, 9425, 5295, 9266, 9505, 9639, 9449, 8065
datasets/iliad.txt, 8925, 5295, 9597, 9928, 9285, 8931, 10271
datasets/iliad.txt, 8925, 21181, 8935, 9129, 8845, 9428, 8353
datasets/iliad.txt, 8925, 5295, 9266, 8873, 9028, 8523, 8856
datasets/iliad.txt, 8925, 5295, 8604, 8161, 9876, 11136, 8618
datasets/iliad.txt, 8925, 10590, 8935, 8993, 7805, 8255, 10151
datasets/iliad.txt, 8925, 10590, 8604, 8956, 8872, 8383, 8288
datasets/iliad.txt, 8925, 5295, 7943, 8999, 9026, 9680, 9839
datasets/iliad.txt, 8925, 2647, 8273, 8729, 8287, 9194, 8787
datasets/iliad.txt, 8925, 42362, 8273, 10633, 8948, 9085, 9137
datasets/iliad.txt, 8925, 2647, 8273, 8864, 8499, 8757, 8288
datasets/iliad.txt, 8925, 5295, 8935, 9203, 8655, 8282, 8256
datasets/iliad.txt, 8925, 5295, 8273, 8795, 8249, 8248, 9390
datasets/iliad.txt, 8925, 2647, 8604, 9433, 9947, 9227, 8288
datasets/iliad.txt, 8925, 21181, 9597, 8781, 8160, 9236, 7848
datasets/iliad.txt, 8925, 10590, 9266, 10648, 8946, 9059, 9537
datasets/iliad.txt, 8925, 10590, 8604, 8520, 9251, 9065, 11727
datasets/iliad.txt, 8925, 10590, 8273, 8565, 8698, 8806, 9173
datasets/iliad.txt, 8925, 10590, 8273, 9567, 9059, 9507, 9317
datasets/iliad.txt, 8925, 42362, 8604, 9032, 9860, 8841, 8160
datasets/iliad.txt, 8925, 10590, 8935, 8633, 8382, 8472, 7817
datasets/iliad.txt, 8925, 5295, 8604, 9606, 7907, 8295, 10596
datasets/iliad.txt, 8925, 10590, 9266, 9457, 8710, 9048, 9317
datasets/iliad.txt, 8925, 10590, 9266, 8783, 8184, 8797, 11017
datasets/iliad.txt, 8925, 5295, 8935, 9095, 8830, 8632, 9353
datasets/iliad.txt, 8925, 10590, 9266, 8745, 8709, 8914, 9137
datasets/iliad.txt, 8925, 2647, 8935, 9234, 8873, 9216, 8484
datasets/iliad.txt, 8925, 42362, 8604, 9079, 9822, 8919, 7787
datasets/iliad.txt, 8925, 10590, 8935, 9157, 8374, 9754, 9763
datasets/iliad.txt, 8925, 42362, 8273, 9085, 8119, 8007, 9916
datasets/iliad.txt, 8925, 10590, 9266, 8165, 9574, 9971, 8484
datasets/iliad.txt, 8925, 5295, 9266, 8006, 8897, 8699, 9612
datasets/iliad.txt, 8925, 42362, 8604, 10126, 8797, 8661, 7757
datasets/iliad.txt, 8925, 84725, 8604, 8954, 9671, 9619, 10033
datasets/iliad.txt, 8925, 5295, 9266, 8985, 9517, 8906, 8386
datasets/iliad.txt, 8925, 5295, 8935, 9196, 9327, 9125, 9317
datasets/iliad.txt, 8925, 21181, 8273, 8485, 8764, 8586, 8288
datasets/iliad.txt, 8925, 10590, 9928, 9024, 9452, 8363, 9353
datasets/iliad.txt, 8925, 5295, 8273, 8383, 9621, 9376, 9426
datasets/iliad.txt, 8925, 10590, 8935, 9909, 8679, 8819, 8160
datasets/iliad.txt, 8925, 2647, 8604, 9151, 8947, 9159, 6559
datasets/iliad.txt, 8925, 2647, 8604, 8456, 8574, 8722, 8321
datasets/iliad.txt, 8925, 21181, 9266, 8668, 10317, 10505, 9574
datasets/iliad.txt, 8925, 42362, 9266, 9880, 9122, 9247, 9317
datasets/iliad.txt, 8925, 5295, 7612, 8535, 9109, 8297, 9994
datasets/iliad.txt, 8925, 10590, 8935, 9481, 8234, 8115, 7817
datasets/iliad.txt, 8925, 2647, 9597, 7927, 8129, 8058, 8288
datasets/iliad.txt, 8925, 5295, 8935, 9403, 9150, 8765, 9317
datasets/iliad.txt, 8925, 5295, 8604, 8197, 8339, 8576, 8584
datasets/iliad.txt, 8925, 2647, 7943, 7926, 9087, 9415, 8787
datasets/iliad.txt, 8925, 10590, 8604, 10098, 8594, 9384, 8097
datasets/iliad.txt, 8925, 10590, 8273, 8307, 10244, 9300, 9317
datasets/iliad.txt, 8925, 10590, 8604, 8779, 9067, 9330, 11147
datasets/iliad.txt, 8925, 10590, 9266, 10037, 8765, 8595, 7940
datasets/iliad.txt, 8925, 1323, 8935, 8245, 10492, 9275, 7726
datasets/iliad.txt, 8925, 5295, 8273, 8545, 8924, 8959, 8065
datasets/iliad.txt, 8925, 10590, 8604, 8844, 9013, 9313, 8960
datasets/iliad.txt, 8925, 10590, 9597, 8799, 8944, 8286, 7637
datasets/iliad.txt, 8925, 10590, 9597, 8752, 7977, 7529, 8891
datasets/iliad.txt, 8925, 21181, 8935, 9311, 9918, 9337, 8192
datasets/iliad.txt, 8925, 21181, 8604, 8186, 9352, 8845, 7402
datasets/iliad.txt, 8925, 10590, 9266, 9485, 9023, 8944, 10432
datasets/iliad.txt, 8925, 10590, 8604, 8735, 8166, 8056, 7971
datasets/iliad.txt, 8925, 5295, 8935, 8746, 8190, 8926, 10072
datasets/iliad.txt, 8925, 5295, 8273, 9000, 8158, 8023, 6067
datasets/iliad.txt, 8925, 2647, 8935, 9295, 9279, 9052, 9955
datasets/iliad.txt, 8925, 21181, 8935, 8856, 9028, 8676, 7287
datasets/iliad.txt, 8925, 5295, 9266, 8635, 9170, 9454, 9801
datasets/iliad.txt, 8925, 5295, 8604, 8564, 8127, 8241, 8451
datasets/iliad.txt, 8925, 42362, 8604, 9214, 9406, 9304, 9574
datasets/iliad.txt, 8925, 10590, 7612, 8376, 8570, 8390, 10151
datasets/iliad.txt, 8925, 5295, 8604, 8674, 8434, 8395, 7637
datasets/iliad.txt, 8925, 21181, 8273, 9171, 9158, 8978, 8386
datasets/iliad.txt, 8925, 10590, 8935, 8711, 9712, 9369, 10033
datasets/iliad.txt, 8925, 10590, 8273, 8371, 8390, 8415, 7757
datasets/iliad.txt, 8925, 10590, 8604, 8859, 9440, 9572, 8160
datasets/iliad.txt, 8925, 5295, 8604, 9476, 7976, 8468, 8995
datasets/iliad.txt, 8925, 5295, 8604, 8798, 9460, 9008, 7940
datasets/iliad.txt, 8925, 5295, 8604, 8571, 8742, 8696, 10975
datasets/iliad.txt, 8925, 10590, 8604, 9197, 9556, 9877, 9426
datasets/iliad.txt, 8925, 10590, 8604, 9093, 8929, 8768, 8753
datasets/iliad.txt, 8925, 2647, 8604, 9391, 8069, 8852, 8288
datasets/iliad.txt, 8925, 84725, 9266, 8921, 9477, 9785, 8719
datasets/iliad.txt, 8925, 21181, 8604, 8563, 9825, 8862, 8856
datasets/iliad.txt, 8925, 2647, 8604, 8455, 9716, 9918, 7878
datasets/iliad.txt, 8925, 5295, 8604, 8528, 8782, 8645, 8288
datasets/iliad.txt, 8925, 10590, 9597, 9838, 9126, 9100, 7231
datasets/iliad.txt, 8925, 42362, 8604, 8683, 8686, 8587, 9916
datasets/iliad.txt, 8925, 2647, 8935, 8692, 8674, 9485, 8685
datasets/iliad.txt, 8925, 10590, 8935, 9900, 8808, 8741, 9173
datasets/iliad.txt, 8925, 84725, 8935, 9607, 8432, 8590, 9763
datasets/iliad.txt, 8925, 2647, 8273, 8759, 8423, 8902, 9426
datasets/iliad.txt, 8925, 42362, 8935, 8707, 8365, 8366, 8618
datasets/iliad.txt, 8925, 10590, 8273, 8397, 8197, 8842, 9426
datasets/iliad.txt, 8925, 21181, 8935, 8133, 9350, 9106, 8321
datasets/iliad.txt, 8925, 21181, 8604, 8301, 8692, 8978, 9353
datasets/iliad.txt, 8925, 1323, 8935, 8200, 8972, 8495, 8584
datasets/iliad.txt, 8925, 10590, 8935, 10144, 8320, 8287, 8926
datasets/iliad.txt, 8925, 5295, 9266, 9019, 9350, 9162, 7344
datasets/iliad.txt, 8925, 5295, 8935, 8958, 9552, 9537, 8256
datasets/iliad.txt, 8925, 21181, 8273, 7866, 7692, 8219, 7817
datasets/mare-balena.txt, 5670, 10590, 5957, 6121, 5857, 5622, 5881
datasets/mare-balena.txt, 5670, 10590, 5295, 5621, 5212, 5333, 6020
datasets/mare-balena.txt, 5670, 1323, 5626, 5114, 5739, 5847, 5745
datasets/mare-balena.txt, 5670, 2647, 5295, 5891, 6031, 6314, 4801
datasets/mare-balena.txt, 5670, 1323, 5295, 5303, 5447, 5688, 6407
datasets/mare-balena.txt, 5670, 2647, 5626, 5893, 5573, 5195, 5927
datasets/mare-balena.txt, 5670, 10590, 5295, 5333, 5619, 5213, 5376
datasets/mare-balena.txt, 5670, 2647, 5957, 5415, 5696, 5850, 5722
datasets/mare-balena.txt, 5670, 2647, 5295, 6325, 5493, 5596, 5231
datasets/mare-balena.txt, 5670, 2647, 5295, 5735, 5383, 5423, 5700
datasets/mare-balena.txt, 5670, 5295, 5295, 4784, 5553, 5810, 4820
datasets/mare-balena.txt, 5670, 1323, 5957, 6713, 5490, 5608, 6115
datasets/mare-balena.txt, 5670, 5295, 5295, 6198, 5751, 5557, 5397
datasets/mare-balena.txt, 5670, 5295, 5626, 5533, 5942, 5884, 6115
datasets/mare-balena.txt, 5670, 2647, 5626, 6172, 5204, 5341, 5525
datasets/mare-balena.txt, 5670, 2647, 5626, 6007, 5373, 5683, 6585
datasets/mare-balena.txt, 5670, 5295, 5957, 5912, 5709, 5921, 5812
datasets/mare-balena.txt, 5670, 2647, 5626, 5418, 5533, 5584, 5590
datasets/mare-balena.txt, 5670, 2647, 5295, 5521, 5558, 5864, 6358
datasets/mare-balena.txt, 5670, 2647, 4964, 6033, 6400, 6222, 5790
datasets/mare-balena.txt, 5670, 21181, 6288, 6321, 5830, 5921, 5767
datasets/mare-balena.txt, 5670, 5295, 5295, 5403, 5776, 5749, 5252
datasets/mare-balena.txt, 5670, 2647, 5295, 5075, 5536, 5539, 5996
datasets/mare-balena.txt, 5670, 21181, 4964, 5344, 5213, 5303, 6308
datasets/mare-balena.txt, 5670, 5295, 6288, 5726, 5281, 5055, 5461
datasets/mare-balena.txt, 5670, 5295, 5626, 5167, 5520, 5564, 5568
datasets/mare-balena.txt, 5670, 10590, 5295, 5879, 6137, 5723, 5376
datasets/mare-balena.txt, 5670, 10590, 5295, 5321, 5406, 5538, 5634
datasets/mare-balena.txt, 5670, 5295, 5957, 5361, 5603, 5560, 5272
datasets/mare-balena.txt, 5670, 1323, 5626, 5648, 5186, 5419, 5272
datasets/mare-balena.txt, 5670, 5295, 5626, 5434, 5332, 5110, 5612
datasets/mare-balena.txt, 5670, 10590, 4964, 5042, 5935, 5677, 5996
datasets/mare-balena.txt, 5670, 21181, 5295, 5422, 5392, 5658, 5835
datasets/mare-balena.txt, 5670, 5295, 5626, 6054, 5774, 5242, 5996
datasets/mare-balena.txt, 5670, 5295, 5626, 6090, 6020, 6282, 5418
datasets/mare-balena.txt, 5670, 21181, 5957, 5941, 5627, 5246, 6067
datasets/mare-balena.txt, 5670, 21181, 5626, 5800, 5339, 5189, 6067
datasets/mare-balena.txt, 5670, 2647, 5957, 5483, 5179, 5422, 5439
datasets/mare-balena.txt, 5670, 2647, 5957, 6779, 6187, 6104, 5881
datasets/mare-balena.txt, 5670, 10590, 5957, 5707, 6104, 5905, 5790
datasets/mare-balena.txt, 5670, 10590, 5626, 5498, 5704, 5413, 5091
datasets/mare-balena.txt, 5670, 21181, 5626, 5765, 5813, 5881, 5439
