input_file, Read, PC, PCSA, HLL, KMV, MC, RC
datasets/crusoe.txt, 0.0019032, 0.00231253, 0.00253093, 0.00253197, 0.00779331, 0.00310287, 0.00484192
datasets/crusoe.txt, 0.00201934, 0.00233664, 0.0023667, 0.00248323, 0.00777183, 0.00303833, 0.00481032
datasets/crusoe.txt, 0.00194285, 0.00235796, 0.00238469, 0.00258032, 0.00775764, 0.00304029, 0.00482395
datasets/crusoe.txt, 0.00191302, 0.00224845, 0.00239933, 0.00237654, 0.00783374, 0.00300765, 0.00491742
datasets/crusoe.txt, 0.00206778, 0.00246434, 0.00231868, 0.00252674, 0.00785249, 0.00310191, 0.00487069
datasets/crusoe.txt, 0.00203742, 0.00226157, 0.00234787, 0.00239703, 0.00767715, 0.00304148, 0.00506575
datasets/crusoe.txt, 0.00205588, 0.00227432, 0.00231847, 0.00242313, 0.00774912, 0.00305847, 0.00492854
datasets/crusoe.txt, 0.00198518, 0.00239517, 0.00245266, 0.00244435, 0.00770669, 0.0030291, 0.00481497
datasets/crusoe.txt, 0.00192221, 0.00230778, 0.00230999, 0.00236932, 0.00772541, 0.00302265, 0.00479896
datasets/crusoe.txt, 0.00191921, 0.00242232, 0.00243597, 0.00259265, 0.00770773, 0.00318241, 0.00495756
datasets/crusoe.txt, 0.00210348, 0.00241781, 0.00236409, 0.00258028, 0.00810644, 0.00316615, 0.00486771
datasets/crusoe.txt, 0.00192553, 0.00228448, 0.00231193, 0.00241585, 0.00798954, 0.00305936, 0.00478546
datasets/crusoe.txt, 0.00191061, 0.00228906, 0.0024373, 0.0024009, 0.00767216, 0.00303045, 0.00489771
datasets/crusoe.txt, 0.0018936, 0.00227932, 0.00241509, 0.00238342, 0.00772993, 0.00302688, 0.00486785
datasets/crusoe.txt, 0.0018685, 0.00331351, 0.00235459, 0.00241437, 0.00769464, 0.00319715, 0.00482143
datasets/dracula.txt, 0.00253412, 0.00311257, 0.00326494, 0.00338772, 0.0104554, 0.00411049, 0.00688599
datasets/dracula.txt, 0.0026917, 0.00313667, 0.00318739, 0.00332753, 0.0109022, 0.00413667, 0.00661481
datasets/dracula.txt, 0.00258527, 0.00312012, 0.00316841, 0.00324216, 0.0105307, 0.00413045, 0.00642021
datasets/dracula.txt, 0.00254775, 0.00305867, 0.00348925, 0.00313014, 0.0103268, 0.00423569, 0.00646136
datasets/dracula.txt, 0.00249861, 0.00315623, 0.00310363, 0.0031493, 0.0102896, 0.00401844, 0.00633965
datasets/dracula.txt, 0.00250417, 0.0030699, 0.00315625, 0.0032163, 0.0103041, 0.004018, 0.00651468
datasets/dracula.txt, 0.00267972, 0.00313228, 0.00312826, 0.00314029, 0.0117657, 0.00421758, 0.0065634
datasets/dracula.txt, 0.00262468, 0.00311364, 0.00332441, 0.00341218, 0.0107045, 0.0040952, 0.00659669
datasets/dracula.txt, 0.00253662, 0.003101, 0.00325369, 0.00334225, 0.0104777, 0.0040884, 0.00650876
datasets/dracula.txt, 0.00256415, 0.00312516, 0.00334309, 0.0033196, 0.0105251, 0.00416898, 0.00646231
datasets/dracula.txt, 0.00259609, 0.00311304, 0.00327331, 0.00324543, 0.0106963, 0.00402489, 0.00639165
datasets/dracula.txt, 0.00246999, 0.00315162, 0.00314586, 0.00328474, 0.0104189, 0.00402069, 0.00650378
datasets/dracula.txt, 0.00252593, 0.00310525, 0.00312683, 0.00324463, 0.0104081, 0.00407339, 0.00658087
datasets/dracula.txt, 0.00258302, 0.00299158, 0.00311139, 0.00317301, 0.0103802, 0.00407057, 0.00674374
datasets/dracula.txt, 0.002542, 0.00304851, 0.00322853, 0.00319367, 0.0102616, 0.00404489, 0.00637619
datasets/dracula.txt, 0.00250345, 0.00308947, 0.0031294, 0.00314308, 0.010505, 0.00412952, 0.00647541
datasets/dracula.txt, 0.00253554, 0.00306834, 0.00315815, 0.00345146, 0.0104381, 0.00436774, 0.00649684
datasets/dracula.txt, 0.00251813, 0.00304293, 0.00347242, 0.00326764, 0.0102784, 0.0040594, 0.00661157
datasets/dracula.txt, 0.00250259, 0.00303318, 0.00321964, 0.00319186, 0.0105083, 0.00408932, 0.00630105
datasets/dracula.txt, 0.00245692, 0.00367841, 0.00315304, 0.00336941, 0.0102458, 0.00396997, 0.00634597
datasets/dracula.txt, 0.0025551, 0.00308518, 0.00308668, 0.00316366, 0.0110559, 0.00407885, 0.00642774
datasets/dracula.txt, 0.00255678, 0.00308385, 0.0032489, 0.00333446, 0.0105504, 0.00403358, 0.00659419
datasets/dracula.txt, 0.00247399, 0.00305586, 0.00312794, 0.00319109, 0.0102663, 0.00404784, 0.0065163
datasets/dracula.txt, 0.00253534, 0.00359437, 0.00326812, 0.00322002, 0.0103401, 0.00404554, 0.00656946
datasets/dracula.txt, 0.00256772, 0.00307314, 0.00378787, 0.00329397, 0.0104117, 0.00430808, 0.00650055
